udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_w,temperature_ratio,temp_diff_ratio,torque_speed_product,tool_wear_torque,tool_wear_ratio,torque_per_rpm,rpm_per_torque,torque_squared,rpm_squared,tool_wear_squared,type_L,type_M,type_H
1410,L48589,L,298.9,310.1,1466,42.5,187,0,0,0,0,0,0,11.200000000000044,6524.564342730401,1.0374707259953164,0.037470725995316305,62305.0,7947.5,4.4,0.02899045020463847,34.49411764705882,1806.25,2149156,34969,1,0,0
8569,L55748,L,297.9,308.6,1691,29.6,116,0,0,0,0,0,0,10.700000000000044,5241.600734857403,1.0359180933199061,0.035918093319906155,50053.600000000006,3433.6000000000004,3.918918918918919,0.017504435245416915,57.12837837837838,876.1600000000001,2859481,13456,1,0,0
8268,L55447,L,299.2,310.7,1540,36.3,175,0,0,0,0,0,0,11.5,5854.04375069922,1.0384358288770053,0.03843582887700535,55901.99999999999,6352.499999999999,4.820936639118457,0.02357142857142857,42.42424242424243,1317.6899999999998,2371600,30625,1,0,0
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,6361.882203152011,1.0335120643431635,0.03351206434316354,60751.5,7177.900000000001,4.4638403990024935,0.02646864686468647,37.780548628428924,1608.0100000000002,2295225,32041,1,0,0
6342,M21201,M,300.4,309.8,1421,47.2,0,0,0,0,0,0,0,9.400000000000034,7023.679639581725,1.0312916111850867,0.031291611185086665,67071.2,0.0,0.0,0.033216045038705136,30.10593220338983,2227.84,2019241,0,0,1,0
1416,L48595,L,298.7,309.9,1617,33.0,203,0,0,0,0,0,0,11.199999999999989,5587.9508529401655,1.0374958151991964,0.03749581519919648,53361.0,6699.0,6.151515151515151,0.02040816326530612,49.0,1089.0,2614689,41209,1,0,0
388,L47567,L,297.7,308.7,1249,60.4,143,0,0,0,0,0,0,11.0,7900.016438325086,1.0369499496137051,0.036949949613705076,75439.59999999999,8637.199999999999,2.3675496688741724,0.048358686949559644,20.67880794701987,3648.16,1560001,20449,1,0,0
1408,L48587,L,298.9,310.0,1564,33.8,183,0,0,0,0,0,0,11.100000000000025,5535.821358841598,1.0371361659417866,0.037136165941786634,52863.2,6185.4,5.4142011834319534,0.021611253196930944,46.27218934911243,1142.4399999999998,2446096,33489,1,0,0
1514,L48693,L,298.1,308.7,1568,32.9,10,0,0,0,0,0,0,10.599999999999966,5402.198951308912,1.0355585374035556,0.03555853740355574,51587.2,329.0,0.303951367781155,0.020982142857142855,47.65957446808511,1082.4099999999999,2458624,100,1,0,0
5161,L52340,L,304.1,313.2,1434,50.1,43,0,0,0,0,0,0,9.099999999999966,7523.423254963764,1.0299243669845444,0.029924366984544443,71843.40000000001,2154.3,0.8582834331337326,0.03493723849372385,28.622754491017965,2510.01,2056356,1849,1,0,0
4201,L51380,L,302.5,311.1,1571,34.2,201,0,0,0,0,0,0,8.600000000000023,5626.403947020104,1.0284297520661159,0.02842975206611578,53728.200000000004,6874.200000000001,5.8771929824561395,0.021769573520050926,45.93567251461988,1169.64,2468041,40401,1,0,0
2121,H31534,H,299.2,308.8,1908,21.3,104,0,0,0,0,0,0,9.600000000000025,4255.852735965021,1.0320855614973263,0.03208556149732629,40640.4,2215.2000000000003,4.88262910798122,0.011163522012578617,89.57746478873239,453.69000000000005,3640464,10816,0,0,1
7344,L54523,L,299.6,310.2,1468,48.0,9,0,0,0,0,0,0,10.599999999999966,7378.972824751707,1.0353805073431241,0.03538050734312405,70464.0,432.0,0.1875,0.0326975476839237,30.583333333333332,2304.0,2155024,81,1,0,0
7988,H37401,H,301.0,312.2,1489,40.3,117,0,0,0,0,0,0,11.199999999999989,6283.886929538887,1.0372093023255813,0.03720930232558136,60006.7,4715.099999999999,2.903225806451613,0.027065144392209535,36.94789081885856,1624.0899999999997,2217121,13689,0,0,1
8227,L55406,L,299.1,310.5,1389,61.4,64,0,0,0,0,0,0,11.399999999999975,8930.982427478135,1.0381143430290871,0.03811434302908718,85284.59999999999,3929.6,1.0423452768729642,0.044204463642908566,22.622149837133552,3769.96,1929321,4096,1,0,0
4537,L51716,L,302.4,310.2,1351,45.1,168,1,0,1,0,0,0,7.800000000000011,6380.585151416381,1.025793650793651,0.025793650793650834,60930.1,7576.8,3.7250554323725056,0.033382679496669135,29.955654101995563,2034.0100000000002,1825201,28224,1,0,0
8226,L55405,L,299.1,310.5,1532,36.6,62,0,0,0,0,0,0,11.399999999999975,5871.762333265467,1.0381143430290871,0.03811434302908718,56071.200000000004,2269.2000000000003,1.6939890710382512,0.023890339425587468,41.857923497267755,1339.5600000000002,2347024,3844,1,0,0
2920,L50099,L,300.6,309.6,1726,30.0,147,0,0,0,0,0,0,9.0,5422.388920095983,1.029940119760479,0.02994011976047904,51780.0,4410.0,4.9,0.01738122827346466,57.53333333333333,900.0,2979076,21609,1,0,0
5765,L52944,L,301.7,311.2,1589,37.9,75,0,0,0,0,0,0,9.5,6306.548284546783,1.0314882333443818,0.03148823334438184,60223.1,2842.5,1.978891820580475,0.023851478917558212,41.926121372031666,1436.4099999999999,2524921,5625,1,0,0
1103,L48282,L,296.8,307.5,1347,54.8,43,0,0,0,0,0,0,10.699999999999989,7729.951556010758,1.0360512129380053,0.03605121293800535,73815.59999999999,2356.4,0.7846715328467153,0.0406829992576095,24.58029197080292,3003.0399999999995,1814409,1849,1,0,0
8039,L55218,L,300.7,311.8,1486,47.3,19,0,0,0,0,0,0,11.100000000000025,7360.521203899621,1.0369138676421683,0.036913867642168356,70287.8,898.6999999999999,0.40169133192389006,0.031830417227456255,31.41649048625793,2237.2899999999995,2208196,361,1,0,0
9546,L56725,L,299.6,311.0,1430,38.3,124,0,0,0,0,0,0,11.399999999999975,5735.396268148646,1.0380507343124166,0.03805073431241647,54768.99999999999,4749.2,3.2375979112271542,0.02678321678321678,37.33681462140992,1466.8899999999999,2044900,15376,1,0,0
8916,L56095,L,297.1,308.3,1403,54.1,179,0,0,0,0,0,0,11.199999999999989,7948.470269018951,1.0376977448670481,0.03769774486704809,75902.3,9683.9,3.3086876155268024,0.038560228082679976,25.933456561922366,2926.81,1968409,32041,1,0,0
7059,L54238,L,300.7,310.6,1520,45.9,146,0,0,0,0,0,0,9.900000000000034,7306.087875188424,1.0329231792484204,0.03292317924842047,69768.0,6701.4,3.1808278867102397,0.03019736842105263,33.11546840958606,2106.81,2310400,21316,1,0,0
2427,M17286,M,298.9,308.2,1372,63.6,30,1,0,0,1,0,0,9.300000000000011,9137.762055937415,1.0311140849782536,0.031114084978253638,87259.2,1908.0,0.4716981132075472,0.04635568513119533,21.572327044025158,4044.96,1882384,900,0,1,0
1420,L48599,L,298.7,309.8,1354,53.3,212,1,0,0,0,1,0,11.100000000000025,7557.43623142663,1.037161031134918,0.03716103113491806,72168.2,11299.599999999999,3.977485928705441,0.03936484490398818,25.403377110694183,2840.89,1833316,44944,1,0,0
2218,L49397,L,299.7,309.1,1347,55.3,139,0,0,0,0,0,0,9.400000000000034,7800.480311083849,1.0313646980313649,0.03136469803136481,74489.09999999999,7686.7,2.5135623869801087,0.041054194506310315,24.358047016274867,3058.0899999999997,1814409,19321,1,0,0
2963,L50142,L,300.7,309.5,1508,39.9,59,0,0,0,0,0,0,8.800000000000011,6300.903889745832,1.029265048220818,0.02926504822081813,60169.2,2354.1,1.4786967418546366,0.026458885941644562,37.794486215538846,1592.01,2274064,3481,1,0,0
5446,M20305,M,303.0,312.8,1648,32.1,104,0,0,0,0,0,0,9.800000000000011,5539.758821634097,1.0323432343234324,0.032343234323432384,52900.8,3338.4,3.2398753894080996,0.019478155339805826,51.339563862928344,1030.41,2715904,10816,0,1,0
7753,M22612,M,300.4,311.7,1832,24.2,179,0,0,0,0,0,0,11.300000000000011,4642.687511377044,1.0376165113182423,0.03761651131824238,44334.4,4331.8,7.3966942148760335,0.013209606986899563,75.70247933884298,585.64,3356224,32041,0,1,0
4006,M18865,M,302.0,311.1,1406,48.8,159,0,0,0,0,0,0,9.100000000000025,7185.115614074191,1.030132450331126,0.03013245033112591,68612.8,7759.2,3.2581967213114758,0.03470839260312944,28.811475409836067,2381.4399999999996,1976836,25281,0,1,0
1873,L49052,L,298.3,308.1,1326,58.4,90,0,0,0,0,0,0,9.800000000000011,8109.330284858261,1.0328528327187396,0.03285283271873956,77438.4,5256.0,1.5410958904109588,0.04404223227752639,22.705479452054796,3410.56,1758276,8100,1,0,0
8249,L55428,L,298.9,310.3,1456,44.1,118,0,0,0,0,0,0,11.400000000000034,6724.013588331307,1.0381398461023754,0.038139846102375495,64209.6,5203.8,2.675736961451247,0.03028846153846154,33.01587301587301,1944.8100000000002,2119936,13924,1,0,0
9413,L56592,L,298.0,308.5,1702,26.7,203,0,0,0,0,0,0,10.5,4758.821719804747,1.0352348993288591,0.03523489932885906,45443.4,5420.099999999999,7.602996254681648,0.015687426556991773,63.745318352059925,712.89,2896804,41209,1,0,0
3746,L50925,L,302.6,311.4,1738,25.8,128,0,0,0,0,0,0,8.799999999999955,4695.6757074675925,1.0290812954395239,0.029081295439523973,44840.4,3302.4,4.961240310077519,0.014844649021864212,67.36434108527132,665.64,3020644,16384,1,0,0
1194,L48373,L,297.1,308.2,1347,50.8,49,0,0,0,0,0,0,11.099999999999966,7165.721515426031,1.0373611578593065,0.037361157859306514,68427.59999999999,2489.2,0.9645669291338583,0.03771343726800297,26.515748031496063,2580.64,1814409,2401,1,0,0
5209,L52388,L,303.8,312.7,1664,29.3,178,0,0,0,0,0,0,8.899999999999977,5105.632604810036,1.0292955892034232,0.02929558920342323,48755.200000000004,5215.400000000001,6.075085324232082,0.017608173076923077,56.791808873720136,858.49,2768896,31684,1,0,0
8440,L55619,L,298.6,309.8,1637,34.6,207,0,0,0,0,0,0,11.199999999999989,5931.347873928553,1.0375083724045546,0.03750837240455455,56640.200000000004,7162.200000000001,5.982658959537572,0.021136224801466097,47.312138728323696,1197.16,2679769,42849,1,0,0
5776,L52955,L,301.6,311.1,1907,21.5,102,0,0,0,0,0,0,9.5,4293.56231978361,1.031498673740053,0.03149867374005305,41000.5,2193.0,4.744186046511628,0.011274252753015208,88.69767441860465,462.25,3636649,10404,1,0,0
3727,M18586,M,302.3,311.2,1505,36.7,78,0,0,0,0,0,0,8.899999999999977,5784.038594401728,1.0294409526959973,0.029440952695997277,55233.50000000001,2862.6000000000004,2.1253405994550407,0.024385382059800665,41.00817438692098,1346.89,2265025,6084,0,1,0
9286,M24145,M,298.2,309.0,1410,47.6,76,0,0,0,0,0,0,10.800000000000011,7028.371084611086,1.0362173038229376,0.03621730382293767,67116.0,3617.6,1.5966386554621848,0.03375886524822695,29.621848739495796,2265.76,1988100,5776,0,1,0
1216,L48395,L,296.8,307.9,1709,28.4,118,0,0,0,0,0,0,11.099999999999966,5082.636146585759,1.037398921832884,0.03739892183288398,48535.6,3351.2,4.154929577464789,0.016617905207723813,60.176056338028175,806.56,2920681,13924,1,0,0
1192,M16051,M,297.2,308.3,1776,28.0,43,0,0,0,0,0,0,11.100000000000025,5207.503982590441,1.0373485868102288,0.03734858681022889,49728.0,1204.0,1.5357142857142858,0.015765765765765764,63.42857142857143,784.0,3154176,1849,0,1,0
7179,L54358,L,300.2,310.2,1600,31.5,23,0,0,0,0,0,0,10.0,5277.875658030853,1.033311125916056,0.033311125916055964,50400.0,724.5,0.7301587301587301,0.0196875,50.79365079365079,992.25,2560000,529,1,0,0
6809,L53988,L,301.0,310.7,1391,45.0,123,0,0,0,0,0,0,9.699999999999989,6554.933071715104,1.0322259136212624,0.03222591362126242,62595.0,5535.0,2.7333333333333334,0.03235082674335011,30.91111111111111,2025.0,1934881,15129,1,0,0
9903,H39316,H,298.7,309.3,1402,45.3,190,0,0,0,0,0,0,10.600000000000025,6650.814479502664,1.0354871108135253,0.03548711081352536,63510.6,8607.0,4.194260485651214,0.03231098430813124,30.949227373068435,2052.0899999999997,1965604,36100,0,0,1
1919,M16778,M,298.1,307.9,1496,40.0,0,0,0,0,0,0,0,9.799999999999956,6266.430146360441,1.0328748742032874,0.03287487420328734,59840.0,0.0,0.0,0.026737967914438502,37.4,1600.0,2238016,0,0,1,0
3461,L50640,L,301.5,310.3,1415,41.6,28,0,0,0,0,0,0,8.800000000000011,6164.223665363653,1.0291873963515754,0.029187396351575495,58864.0,1164.8,0.673076923076923,0.029399293286219083,34.01442307692307,1730.5600000000002,2002225,784,1,0,0
6151,L53330,L,301.1,311.1,1711,29.1,170,0,0,0,0,0,0,10.0,5214.007079383371,1.0332115576220524,0.033211557622052475,49790.100000000006,4947.0,5.841924398625429,0.017007597895967272,58.797250859106526,846.8100000000001,2927521,28900,1,0,0
1064,M15923,M,296.8,307.8,1664,32.8,142,0,0,0,0,0,0,11.0,5715.520458626935,1.0370619946091644,0.03706199460916442,54579.2,4657.599999999999,4.329268292682928,0.01971153846153846,50.73170731707317,1075.84,2768896,20164,0,1,0
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,7718.086807755699,1.0342052313883299,0.03420523138832994,73702.3,3592.7999999999997,1.4428857715430863,0.03378469871360867,29.59919839679359,2490.0099999999998,2181529,5184,1,0,0
474,M15333,M,297.4,309.0,1520,37.0,147,0,0,0,0,0,0,11.600000000000025,5889.439027929666,1.0390047074646942,0.0390047074646941,56240.0,5439.0,3.972972972972973,0.024342105263157894,41.08108108108108,1369.0,2310400,21609,0,1,0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6150.871896585897,1.033456005352961,0.03345600535296086,58736.5,1185.0,0.759493670886076,0.0265635507733692,37.64556962025316,1560.25,2211169,900,0,1,0
2563,L49742,L,299.3,309.1,1551,39.1,147,0,0,0,0,0,0,9.800000000000011,6350.63530145216,1.032743067156699,0.032743067156699,60644.100000000006,5747.7,3.7595907928388748,0.025209542230818827,39.667519181585675,1528.8100000000002,2405601,21609,1,0,0
9933,L57112,L,298.3,308.2,1663,28.4,67,0,0,0,0,0,0,9.899999999999975,4945.830258497435,1.0331880657056653,0.033188065705665355,47229.2,1902.8,2.359154929577465,0.017077570655441972,58.556338028169016,806.56,2765569,4489,1,0,0
6838,M21697,M,301.0,311.0,1423,38.6,199,0,0,0,0,0,0,10.0,5752.025765261648,1.0332225913621262,0.03322259136212625,54927.8,7681.400000000001,5.155440414507772,0.027125790583274773,36.865284974093264,1489.96,2024929,39601,0,1,0
5881,L53060,L,301.5,311.1,1434,49.6,129,0,0,0,0,0,0,9.600000000000025,7448.339190542969,1.0318407960199005,0.03184079601990058,71126.40000000001,6398.400000000001,2.600806451612903,0.034588563458856345,28.911290322580644,2460.1600000000003,2056356,16641,1,0,0
7674,M22533,M,300.5,311.6,1476,39.1,199,0,0,0,0,0,0,11.100000000000025,6043.544619563757,1.0369384359401,0.03693843594009991,57711.6,7780.900000000001,5.089514066496164,0.026490514905149053,37.749360613810744,1528.8100000000002,2178576,39601,0,1,0
6328,L53507,L,300.6,310.0,1425,49.5,174,0,0,0,0,0,0,9.399999999999975,7386.669726753,1.0312707917498336,0.03127079174983358,70537.5,8613.0,3.515151515151515,0.034736842105263156,28.78787878787879,2450.25,2030625,30276,1,0,0
6282,M21141,M,301.3,310.8,1455,41.2,56,0,0,0,0,0,0,9.5,6277.530440403125,1.0315300365084634,0.031530036508463324,59946.00000000001,2307.2000000000003,1.3592233009708736,0.02831615120274914,35.31553398058252,1697.4400000000003,2117025,3136,0,1,0
9062,M23921,M,297.2,308.4,1863,26.0,110,0,0,0,0,0,0,11.199999999999989,5072.41549848608,1.0376850605652759,0.037685060565275874,48438.0,2860.0,4.230769230769231,0.013955984970477724,71.65384615384616,676.0,3470769,12100,0,1,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7081.275504897538,1.033467202141901,0.03346720214190094,67621.2,2442.0,1.2387387387387387,0.029152987524622455,34.3018018018018,1971.36,2319529,3025,1,0,0
6437,L53616,L,300.4,310.0,1769,26.1,38,0,0,0,0,0,0,9.600000000000025,4835.005341654299,1.0319573901464714,0.031957390146471455,46170.9,991.8000000000001,1.4559386973180075,0.014754098360655738,67.77777777777777,681.21,3129361,1444,1,0,0
5778,L52957,L,301.6,311.1,1408,44.4,106,0,0,0,0,0,0,9.5,6546.576435256554,1.031498673740053,0.03149867374005305,62515.2,4706.4,2.3873873873873874,0.03153409090909091,31.71171171171171,1971.36,1982464,11236,1,0,0
9772,M24631,M,298.7,309.6,1424,50.4,32,0,0,0,0,0,0,10.900000000000034,7515.694937035934,1.036491463006361,0.03649146300636101,71769.59999999999,1612.8,0.6349206349206349,0.03539325842696629,28.253968253968253,2540.16,2027776,1024,0,1,0
6678,L53857,L,301.5,310.7,1435,38.5,224,0,0,0,0,0,0,9.199999999999989,5785.504670973403,1.030514096185738,0.03051409618573794,55247.5,8624.0,5.818181818181818,0.026829268292682926,37.27272727272727,1482.25,2059225,50176,1,0,0
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,10.100000000000025,5948.417194013057,1.0338926174496645,0.033892617449664514,56803.200000000004,6954.0,5.191256830601093,0.023582474226804123,42.404371584699454,1339.5600000000002,2408704,36100,0,1,0
5684,M20543,M,302.2,311.6,1592,37.7,79,0,0,0,0,0,0,9.400000000000034,6285.112150673789,1.0311052283256124,0.031105228325612293,60018.4,2978.3,2.0954907161803713,0.023680904522613067,42.22811671087533,1421.2900000000002,2534464,6241,0,1,0
7050,L54229,L,300.6,310.4,1494,47.3,118,0,0,0,0,0,0,9.799999999999956,7400.147159236901,1.032601463739188,0.032601463739188145,70666.2,5581.4,2.494714587737844,0.031659973226238286,31.585623678646936,2237.2899999999995,2232036,13924,1,0,0
558,M15417,M,297.5,309.4,1433,48.3,139,0,0,0,0,0,0,11.899999999999975,7248.062658876618,1.0399999999999998,0.03999999999999992,69213.9,6713.7,2.877846790890269,0.033705512909979064,29.66873706004141,2332.89,2053489,19321,0,1,0
8737,L55916,L,297.3,308.7,1491,40.2,112,0,0,0,0,0,0,11.399999999999975,6276.713626313192,1.0383451059535822,0.038345105953582155,59938.200000000004,4502.400000000001,2.7860696517412933,0.026961770623742456,37.089552238805965,1616.0400000000002,2223081,12544,1,0,0
7811,L54990,L,300.1,311.5,2218,17.0,123,0,0,0,0,0,0,11.399999999999975,3948.563086541892,1.0379873375541486,0.037987337554148536,37706.0,2091.0,7.235294117647059,0.007664562669071236,130.47058823529412,289.0,4919524,15129,1,0,0
4030,H33443,H,302.0,310.9,1679,29.0,222,0,0,0,0,0,0,8.899999999999977,5098.909596531354,1.0294701986754966,0.029470198675496613,48691.0,6438.0,7.655172413793103,0.017272185824895772,57.89655172413793,841.0,2819041,49284,0,0,1
2352,L49531,L,299.2,308.4,1393,48.4,35,0,0,0,0,0,0,9.199999999999989,7060.331553873606,1.0307486631016043,0.03074866310160424,67421.2,1694.0,0.7231404958677686,0.03474515434314429,28.780991735537192,2342.56,1940449,1225,1,0,0
4122,M18981,M,302.1,310.7,1364,47.8,213,1,0,1,0,0,0,8.599999999999966,6827.64425799772,1.0284673949023502,0.0284673949023501,65199.2,10181.4,4.456066945606695,0.03504398826979472,28.535564853556487,2284.8399999999997,1860496,45369,0,1,0
3196,M18055,M,300.0,309.2,1635,32.4,4,0,0,0,0,0,0,9.199999999999989,5547.424307708856,1.0306666666666666,0.03066666666666663,52974.0,129.6,0.1234567901234568,0.01981651376146789,50.46296296296296,1049.76,2673225,16,0,1,0
3373,L50552,L,301.4,310.8,1431,44.3,21,0,0,0,0,0,0,9.400000000000034,6638.530852227128,1.031187790311878,0.03118779031187802,63393.299999999996,930.3,0.4740406320541761,0.030957372466806427,32.30248306997743,1962.4899999999998,2047761,441,1,0,0
6444,L53623,L,300.8,310.3,1537,33.3,52,0,0,0,0,0,0,9.5,5359.776978509938,1.0315824468085106,0.03158244680851064,51182.1,1731.6,1.5615615615615617,0.021665582303188026,46.15615615615616,1108.8899999999999,2362369,2704,1,0,0
2735,H32148,H,299.7,309.2,1572,32.8,142,0,0,0,0,0,0,9.5,5399.518125577849,1.0316983650316984,0.031698365031698365,51561.6,4657.599999999999,4.329268292682928,0.020865139949109414,47.926829268292686,1075.84,2471184,20164,0,0,1
1129,M15988,M,296.8,307.9,1843,25.2,116,0,0,0,0,0,0,11.099999999999966,4863.56241887543,1.037398921832884,0.03739892183288398,46443.6,2923.2,4.603174603174604,0.013673358654367878,73.13492063492063,635.04,3396649,13456,0,1,0
1911,H31324,H,298.0,307.7,1547,36.8,186,0,0,0,0,0,0,9.699999999999989,5961.653771060182,1.0325503355704697,0.03255033557046976,56929.6,6844.799999999999,5.054347826086957,0.0237879767291532,42.038043478260875,1354.2399999999998,2393209,34596,0,0,1
6201,L53380,L,301.0,310.9,1679,29.8,64,0,0,0,0,0,0,9.899999999999975,5239.569171608081,1.0328903654485049,0.032890365448504905,50034.200000000004,1907.2,2.1476510067114094,0.017748659916617036,56.34228187919463,888.0400000000001,2819041,4096,1,0,0
893,L48072,L,295.7,306.1,1343,54.4,119,0,0,0,0,0,0,10.400000000000034,7650.741533238246,1.0351707811971593,0.0351707811971594,73059.2,6473.599999999999,2.1875,0.04050632911392405,24.6875,2959.3599999999997,1803649,14161,1,0,0
8199,M23058,M,299.3,310.7,1374,48.9,222,0,0,0,0,0,0,11.399999999999975,7035.973738832773,1.0380888740394252,0.03808887403942524,67188.59999999999,10855.8,4.539877300613497,0.03558951965065502,28.098159509202453,2391.21,1887876,49284,0,1,0
2932,L50111,L,300.8,309.7,1373,45.4,179,0,0,0,0,0,0,8.899999999999977,6527.622159579896,1.0295877659574468,0.02958776595744673,62334.2,8126.599999999999,3.94273127753304,0.03306627822286963,30.24229074889868,2061.16,1885129,32041,1,0,0
8480,L55659,L,298.6,309.7,1627,33.4,99,0,0,0,0,0,0,11.099999999999966,5690.659988761528,1.037173476222371,0.037173476222370945,54341.799999999996,3306.6,2.964071856287425,0.02052858020897357,48.712574850299404,1115.56,2647129,9801,1,0,0
7654,L54833,L,300.4,311.5,1492,44.6,149,0,0,0,0,0,0,11.100000000000025,6968.387608878545,1.0369507323568576,0.036950732356857606,66543.2,6645.400000000001,3.3408071748878925,0.029892761394101876,33.45291479820628,1989.16,2226064,22201,1,0,0
7261,L54440,L,300.4,310.5,2424,14.5,12,0,0,0,0,0,0,10.100000000000025,3680.6899529458015,1.0336218375499335,0.0336218375499335,35148.0,174.0,0.8275862068965517,0.005981848184818482,167.17241379310346,210.25,5875776,144,1,0,0
3302,L50481,L,301.3,310.5,1365,47.7,70,0,0,0,0,0,0,9.199999999999989,6818.355615718608,1.0305343511450382,0.03053435114503813,65110.50000000001,3339.0,1.4675052410901466,0.03494505494505495,28.61635220125786,2275.2900000000004,1863225,4900,1,0,0
6377,L53556,L,300.0,309.6,1694,28.7,94,0,0,0,0,0,0,9.600000000000025,5091.244110456595,1.032,0.032000000000000084,48617.799999999996,2697.7999999999997,3.275261324041812,0.016942148760330577,59.02439024390244,823.6899999999999,2869636,8836,1,0,0
6655,L53834,L,301.4,310.3,2203,16.6,169,0,0,0,0,0,0,8.900000000000034,3829.580500774935,1.0295288652952888,0.029528865295288767,36569.8,2805.4,10.180722891566264,0.007535179300953246,132.71084337349396,275.56000000000006,4853209,28561,1,0,0
4245,L51424,L,302.4,310.9,1469,39.6,86,0,0,0,0,0,0,8.5,6091.799482722897,1.0281084656084656,0.02810846560846561,58172.4,3405.6,2.1717171717171717,0.026957113682777402,37.09595959595959,1568.16,2157961,7396,1,0,0
8901,M23760,M,297.3,308.6,1584,29.4,141,0,0,0,0,0,0,11.300000000000011,4876.757108020507,1.0380087453750422,0.038008745375042084,46569.6,4145.4,4.795918367346939,0.01856060606060606,53.87755102040816,864.3599999999999,2509056,19881,0,1,0
5121,M19980,M,304.2,313.6,1424,43.7,151,0,0,0,0,0,0,9.400000000000034,6516.584697390285,1.0309007232084155,0.03090072320841563,62228.8,6598.700000000001,3.455377574370709,0.030688202247191012,32.5858123569794,1909.6900000000003,2027776,22801,0,1,0
8383,L55562,L,298.9,310.0,1719,27.3,58,0,0,0,0,0,0,11.100000000000025,4914.361972083978,1.0371361659417866,0.037136165941786634,46928.700000000004,1583.4,2.1245421245421245,0.01588132635253054,62.967032967032964,745.2900000000001,2954961,3364,1,0,0
515,L47694,L,297.4,309.2,1620,33.2,28,0,0,0,0,0,0,11.800000000000011,5632.247309355781,1.039677202420982,0.03967720242098188,53784.00000000001,929.6000000000001,0.8433734939759036,0.02049382716049383,48.795180722891565,1102.2400000000002,2624400,784,1,0,0
3697,L50876,L,302.1,311.2,1454,46.8,0,0,0,0,0,0,0,9.099999999999966,7125.886120578512,1.030122476001324,0.03012247600132395,68047.2,0.0,0.0,0.032187070151306736,31.06837606837607,2190.24,2114116,0,1,0,0
