udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_w
4122,M18981,M,302.1,310.7,1364,47.8,213,1,0,1,0,0,0,8.599999999999966,6827.64425799772
3196,M18055,M,300.0,309.2,1635,32.4,4,0,0,0,0,0,0,9.199999999999989,5547.424307708856
3373,L50552,L,301.4,310.8,1431,44.3,21,0,0,0,0,0,0,9.400000000000034,6638.530852227128
6444,L53623,L,300.8,310.3,1537,33.3,52,0,0,0,0,0,0,9.5,5359.776978509938
2735,H32148,H,299.7,309.2,1572,32.8,142,0,0,0,0,0,0,9.5,5399.518125577849
1129,M15988,M,296.8,307.9,1843,25.2,116,0,0,0,0,0,0,11.099999999999966,4863.56241887543
1911,H31324,H,298.0,307.7,1547,36.8,186,0,0,0,0,0,0,9.699999999999989,5961.653771060182
6201,L53380,L,301.0,310.9,1679,29.8,64,0,0,0,0,0,0,9.899999999999977,5239.569171608081
893,L48072,L,295.7,306.1,1343,54.4,119,0,0,0,0,0,0,10.400000000000034,7650.741533238246
8199,M23058,M,299.3,310.7,1374,48.9,222,0,0,0,0,0,0,11.399999999999977,7035.973738832773
2932,L50111,L,300.8,309.7,1373,45.4,179,0,0,0,0,0,0,8.899999999999977,6527.622159579896
8480,L55659,L,298.6,309.7,1627,33.4,99,0,0,0,0,0,0,11.099999999999966,5690.6599887615275
7654,L54833,L,300.4,311.5,1492,44.6,149,0,0,0,0,0,0,11.100000000000023,6968.387608878545
7261,L54440,L,300.4,310.5,2424,14.5,12,0,0,0,0,0,0,10.100000000000023,3680.6899529458015
3302,L50481,L,301.3,310.5,1365,47.7,70,0,0,0,0,0,0,9.199999999999989,6818.355615718608
6377,L53556,L,300.0,309.6,1694,28.7,94,0,0,0,0,0,0,9.600000000000023,5091.244110456595
6655,L53834,L,301.4,310.3,2203,16.6,169,0,0,0,0,0,0,8.900000000000034,3829.5805007749345
4245,L51424,L,302.4,310.9,1469,39.6,86,0,0,0,0,0,0,8.5,6091.799482722897
8901,M23760,M,297.3,308.6,1584,29.4,141,0,0,0,0,0,0,11.300000000000011,4876.757108020507
5121,M19980,M,304.2,313.6,1424,43.7,151,0,0,0,0,0,0,9.400000000000034,6516.584697390285
8383,L55562,L,298.9,310.0,1719,27.3,58,0,0,0,0,0,0,11.100000000000023,4914.361972083978
515,L47694,L,297.4,309.2,1620,33.2,28,0,0,0,0,0,0,11.800000000000011,5632.247309355781
3697,L50876,L,302.1,311.2,1454,46.8,0,0,0,0,0,0,0,9.099999999999966,7125.886120578512
3533,L50712,L,301.9,310.9,1486,40.3,6,0,0,0,0,0,0,9.0,6271.22631114492
467,L47646,L,297.2,308.5,1550,41.5,125,0,0,0,0,0,0,11.300000000000011,6736.098248072115
1534,M16393,M,298.0,308.9,1339,51.4,68,0,0,0,0,0,0,10.899999999999977,7207.295258208536
7520,L54699,L,300.2,311.6,1999,21.0,19,0,0,0,0,0,0,11.400000000000034,4396.030600168197
768,L47947,L,296.9,308.0,1546,31.1,11,0,0,0,0,0,0,11.100000000000023,5034.988658006313
5342,H34755,H,303.5,312.8,1404,55.8,84,0,0,0,0,0,0,9.300000000000011,8204.080719290529
8681,L55860,L,297.2,308.5,1494,39.6,181,0,0,0,0,0,0,11.300000000000011,6195.47204029136
5746,L52925,L,302.1,311.5,1987,20.1,21,0,0,0,0,0,0,9.399999999999977,4182.3708837975555
5960,L53139,L,300.6,310.8,1378,51.2,119,0,0,0,0,0,0,10.199999999999989,7388.355714810427
5419,L52598,L,302.6,312.4,1398,41.6,40,0,0,0,0,0,0,9.799999999999955,6090.16585454303
9786,H39199,H,298.7,309.7,1697,29.8,74,0,0,0,0,0,0,11.0,5295.740848254267
746,L47925,L,296.7,308.0,1451,50.7,197,0,0,0,0,0,0,11.300000000000011,7703.782089206355
7860,M22719,M,300.5,311.9,1370,44.8,20,0,0,0,0,0,0,11.399999999999977,6427.279690224237
5851,L53030,L,301.3,311.1,1560,35.3,55,0,0,0,0,0,0,9.800000000000011,5766.707474929423
6050,M20909,M,300.9,311.0,1567,34.3,130,0,0,0,0,0,0,10.100000000000023,5628.487870146985
4948,L52127,L,303.7,312.7,1395,53.9,123,0,0,0,0,0,0,9.0,7873.930747324777
6184,H35597,H,301.0,310.9,1495,37.3,21,0,0,0,0,0,0,9.899999999999977,5839.540064615147
5002,M19861,M,303.6,312.7,2174,17.6,37,0,0,0,0,0,0,9.099999999999966,4006.82915829047
8838,M23697,M,297.5,309.1,1540,38.5,176,0,0,0,0,0,0,11.600000000000023,6208.8342810446275
368,M15227,M,297.6,308.4,1569,38.3,93,0,0,0,0,0,0,10.799999999999955,6292.892828479178
5688,L52867,L,302.3,311.7,2170,18.2,91,0,0,0,0,0,0,9.399999999999977,4135.802008695843
298,L47477,L,298.0,308.5,1713,25.3,124,0,0,0,0,0,0,10.5,4538.438995155423
5401,L52580,L,302.7,312.4,1477,46.3,251,1,0,0,0,1,0,9.699999999999989,7161.270925833444
1174,H30587,H,297.1,308.0,1559,38.8,229,0,0,0,0,0,0,10.899999999999977,6334.4142113841235
3213,L50392,L,300.3,309.2,1649,32.4,50,0,0,0,0,0,0,8.899999999999977,5594.925188631134
6427,L53606,L,300.2,309.7,1448,36.8,14,0,0,0,0,0,0,9.5,5580.138759208238
1284,L48463,L,298.3,309.4,1356,45.4,96,0,0,0,0,0,0,11.099999999999966,6446.799452578542
3479,L50658,L,301.8,310.7,1597,30.8,74,0,0,0,0,0,0,8.899999999999977,5150.913426923777
9618,L56797,L,299.0,310.2,1516,35.3,102,0,0,0,0,0,0,11.199999999999989,5604.056751277568
3949,M18808,M,302.2,311.3,1510,37.1,10,0,0,0,0,0,0,9.100000000000023,5866.50540155846
2266,M17125,M,299.2,308.4,1330,51.2,56,0,0,0,0,0,0,9.199999999999989,7130.996444628352
2801,M17660,M,300.2,309.5,1500,45.7,89,0,0,0,0,0,0,9.300000000000011,7178.539213452678
3330,L50509,L,301.6,310.7,1683,29.7,131,0,0,0,0,0,0,9.099999999999966,5234.427431631706
7326,L54505,L,299.9,310.4,1419,45.7,178,0,0,0,0,0,0,10.5,6790.8980959262335
9911,L57090,L,298.6,309.0,1469,46.0,4,0,0,0,0,0,0,10.399999999999977,7076.3327324558895
6060,L53239,L,300.9,311.0,2235,15.8,156,0,0,0,0,0,0,10.100000000000023,3697.9687125405458
3481,L50660,L,301.9,310.8,1400,58.2,79,0,0,0,0,0,0,8.900000000000034,8532.565647149877
1588,M16447,M,298.2,308.3,1448,43.3,199,0,0,0,0,0,0,10.100000000000023,6565.761094394476
9290,L56469,L,298.2,308.9,1367,45.0,85,0,0,0,0,0,0,10.699999999999989,6441.835736185871
9907,M24766,M,298.6,309.1,1587,37.3,203,0,0,0,0,0,0,10.5,6198.896376283771
3163,L50342,L,300.5,309.9,1480,40.0,148,0,0,0,0,0,0,9.399999999999977,6199.409503083858
7102,L54281,L,300.8,310.2,1850,22.8,33,0,0,0,0,0,0,9.399999999999977,4417.07927094725
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6917.703247400629
1173,L48352,L,297.1,308.1,1446,36.6,227,0,0,0,0,0,0,11.0,5542.146432050826
5752,H35165,H,302.3,311.8,1475,42.8,38,0,0,0,0,0,0,9.5,6610.958140704121
6287,L53466,L,301.1,310.6,1611,35.2,70,0,0,0,0,0,0,9.5,5938.364097521571
7267,L54446,L,300.4,310.5,1578,32.8,26,0,0,0,0,0,0,10.100000000000023,5420.126973385398
8900,M23759,M,297.3,308.5,1710,27.7,138,0,0,0,0,0,0,11.199999999999989,4960.260640752925
4532,L51711,L,302.5,310.5,1520,41.2,154,0,0,0,0,0,0,8.0,6557.969944613575
4188,M19047,M,302.2,310.7,1601,33.0,166,0,0,0,0,0,0,8.5,5532.658822236985
1241,L48420,L,297.2,308.6,1636,31.3,192,0,0,0,0,0,0,11.400000000000034,5362.363556461394
8967,L56146,L,297.1,307.8,1636,30.3,90,0,0,0,0,0,0,10.699999999999989,5191.042037085631
1011,M15870,M,296.2,307.2,1552,34.8,8,0,0,0,0,0,0,11.0,5655.872086110775
7767,L54946,L,300.3,311.4,1318,52.7,13,0,0,0,0,0,0,11.099999999999966,7273.6875829544
2761,L49940,L,299.8,309.2,1400,42.6,210,0,0,0,0,0,0,9.399999999999977,6245.486195336508
9788,H39201,H,298.6,309.5,1420,50.4,82,0,0,0,0,0,0,10.899999999999977,7494.583434403809
4062,L51241,L,301.9,310.8,1906,21.7,62,0,0,0,0,0,0,8.900000000000034,4331.230015700153
4211,L51390,L,302.1,310.8,1565,35.3,6,0,0,0,0,0,0,8.699999999999989,5785.190511708043
4241,L51420,L,302.4,311.1,1905,20.9,77,0,0,0,0,0,0,8.700000000000045,4169.364690211693
1469,M16328,M,298.6,309.8,1419,44.9,115,0,0,0,0,0,0,11.199999999999989,6672.020229914395
802,L47981,L,296.9,307.8,1285,52.1,100,0,0,0,0,0,0,10.900000000000034,7010.830525628543
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,5506.416051603998
765,L47944,L,296.8,307.9,1337,56.5,5,0,0,0,0,0,0,11.099999999999966,7910.582661616658
3991,H33404,H,302.2,311.2,1692,28.2,122,0,0,0,0,0,0,9.0,4996.640283681493
9783,L56962,L,298.7,309.9,1404,47.1,64,0,0,0,0,0,0,11.199999999999989,6924.94985445491
1764,L48943,L,298.2,307.6,1511,31.0,209,1,1,0,0,0,0,9.400000000000034,4905.178049559983
3015,L50194,L,300.5,309.7,1580,42.8,196,0,0,0,0,0,0,9.199999999999989,7081.568720211872
4466,L51645,L,302.8,310.6,1404,43.2,203,0,0,0,0,0,0,7.800000000000011,6351.5463633217005
4038,M18897,M,302.0,310.8,1609,35.2,4,0,0,0,0,0,0,8.800000000000011,5930.991826761146
2241,L49420,L,299.2,308.5,1457,44.7,195,0,0,0,0,0,0,9.300000000000011,6820.17773945769
2396,M17255,M,299.2,308.5,1742,28.9,150,0,0,0,0,0,0,9.300000000000011,5271.990407793128
4606,H34019,H,302.9,311.0,1469,48.7,130,0,0,0,0,0,0,8.100000000000023,7491.682697186997
323,L47502,L,297.8,308.5,1448,40.0,192,0,0,0,0,0,0,10.699999999999989,6065.368216530695
8707,L55886,L,297.2,308.6,1335,53.0,39,0,0,0,0,0,0,11.400000000000034,7409.446273491528
8776,H38189,H,297.5,308.6,1536,38.7,7,0,0,0,0,0,0,11.100000000000023,6224.87734752896
4908,M19767,M,303.6,312.5,1607,33.7,14,0,0,0,0,0,0,8.899999999999977,5671.192586284783
783,L47962,L,296.8,307.9,1698,30.8,48,0,0,0,0,0,0,11.099999999999966,5476.675641150014
3251,H32664,H,301.2,309.8,1709,27.0,151,0,0,0,0,0,0,8.600000000000023,4832.083660486461
7902,L55081,L,300.8,312.4,1365,44.5,129,0,0,0,0,0,0,11.599999999999966,6360.939725355934
2068,L49247,L,299.7,309.6,1553,36.8,174,0,0,0,0,0,0,9.900000000000034,5984.775892990603
1758,M16617,M,298.1,307.4,1335,56.2,190,0,0,0,0,0,0,9.299999999999955,7856.809067362715
8997,L56176,L,297.2,307.9,1540,37.1,164,0,0,0,0,0,0,10.699999999999989,5983.058489006642
7272,M22131,M,300.3,310.4,1293,49.7,37,0,0,0,0,0,0,10.099999999999966,6729.511375475089
9262,H38675,H,298.3,309.0,1470,38.4,10,0,0,0,0,0,0,10.699999999999989,5911.2207369945545
2777,L49956,L,300.1,309.4,1453,47.6,28,0,0,0,0,0,0,9.299999999999955,7242.711479390005
3114,M17973,M,299.9,309.1,1345,56.8,10,0,0,0,0,0,0,9.200000000000045,8000.170412121527
5819,L52998,L,301.3,311.0,1539,36.9,206,0,0,0,0,0,0,9.699999999999989,5946.940645465871
2235,L49414,L,299.4,308.6,1492,40.5,181,0,0,0,0,0,0,9.200000000000045,6327.795922860561
9843,L57022,L,298.4,309.3,1395,47.6,24,0,0,0,0,0,0,10.900000000000034,6953.601179455648
5656,L52835,L,302.3,311.5,1387,47.3,2,0,0,0,0,0,0,9.199999999999989,6870.15000660079
6200,L53379,L,300.9,310.9,1497,43.2,62,0,0,0,0,0,0,10.0,6772.268451490445
2517,L49696,L,298.8,308.5,1736,29.0,31,0,0,0,0,0,0,9.699999999999989,5272.0113517441505
1861,L49040,L,297.8,307.6,1607,30.3,62,0,0,0,0,0,0,9.800000000000011,5099.024788261986
6373,M21232,M,300.0,309.5,1879,22.4,79,0,0,0,0,0,0,9.5,4407.612605084431
669,L47848,L,297.5,308.9,1738,24.0,195,0,0,0,0,0,0,11.399999999999977,4368.070425551248
9169,H38582,H,297.6,308.8,1385,44.4,181,0,0,0,0,0,0,11.199999999999989,6439.636621328358
3758,M18617,M,302.2,311.1,1516,33.7,158,0,0,0,0,0,0,8.900000000000034,5350.048513259322
5221,L52400,L,303.8,313.0,1633,32.9,207,0,0,0,0,0,0,9.199999999999989,5626.142147632305
6031,L53210,L,300.6,310.7,1397,53.7,80,0,0,0,0,0,0,10.099999999999966,7855.960837346244
8656,L55835,L,297.3,308.3,1268,60.6,119,0,0,0,0,0,0,11.0,8046.749759198753
8618,L55797,L,297.6,308.6,1529,45.3,15,0,0,0,0,0,0,11.0,7253.277702681578
7568,M22427,M,300.2,311.0,2370,14.7,144,0,0,0,0,0,0,10.800000000000011,3648.3315486138267
4505,L51684,L,302.4,310.1,1645,31.6,93,0,0,0,0,0,0,7.7000000000000455,5443.542310630154
4876,L52055,L,303.7,312.4,1702,31.2,144,0,0,0,0,0,0,8.699999999999989,5560.870324266221
2669,M17528,M,299.8,309.3,1640,31.1,211,0,0,0,0,0,0,9.5,5341.126390123128
8164,L55343,L,299.7,311.1,1574,36.4,135,0,0,0,0,0,0,11.400000000000034,5999.771761923738
559,L47738,L,297.5,309.4,1650,34.6,142,0,0,0,0,0,0,11.899999999999977,5978.450819781377
4318,M19177,M,301.5,310.0,1417,44.6,49,0,0,0,0,0,0,8.5,6618.100028003282
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,10.0,6663.024802949617
7361,L54540,L,299.5,310.1,1585,35.2,50,0,0,0,0,0,0,10.600000000000023,5842.524577636058
6257,L53436,L,301.0,310.6,1493,37.8,206,1,1,0,0,0,0,9.600000000000023,5909.901268080047
3560,M18419,M,301.7,310.7,1659,29.9,73,0,0,0,0,0,0,9.0,5194.529204931115
8799,L55978,L,297.3,308.4,1469,46.7,65,0,0,0,0,0,0,11.099999999999966,7184.016056645436
4391,M19250,M,302.2,310.1,1421,45.4,9,0,0,0,0,0,0,7.900000000000034,6755.827449936659
5317,M20176,M,303.6,312.8,1689,33.1,16,0,0,0,0,0,0,9.199999999999989,5854.452157744187
8478,H37891,H,298.5,309.6,1579,33.5,91,0,0,0,0,0,0,11.100000000000023,5539.308526687082
7092,L54271,L,300.6,310.2,1318,51.0,8,0,0,0,0,0,0,9.599999999999966,7039.05249963329
4124,M18983,M,302.1,310.6,1517,38.9,2,0,0,0,0,0,0,8.5,6179.648885292779
8917,L56096,L,297.1,308.2,2267,15.7,181,0,0,0,0,0,0,11.099999999999966,3727.175052243418
2232,L49411,L,299.4,308.6,1415,56.4,175,0,0,0,0,0,0,9.200000000000045,8357.264777079567
5899,L53078,L,301.0,310.7,1300,57.2,174,0,0,0,0,0,0,9.699999999999989,7786.960990697901
1496,H30909,H,297.9,308.5,1383,44.6,184,0,0,0,0,0,0,10.600000000000023,6459.30299133983
3486,L50665,L,301.9,310.8,1427,47.7,92,0,0,0,0,0,0,8.900000000000034,7128.05381950949
2579,L49758,L,299.4,309.3,1391,46.6,185,0,0,0,0,0,0,9.900000000000034,6787.997358709419
9589,H39002,H,299.3,310.4,1510,45.5,27,0,0,0,0,0,0,11.099999999999966,7194.770775496224
7461,L54640,L,300.0,311.5,1445,41.6,81,0,0,0,0,0,0,11.5,6294.913919752988
1489,L48668,L,298.2,309.1,1568,36.3,166,0,0,0,0,0,0,10.900000000000034,5960.480909802842
7958,H37371,H,300.9,311.9,2140,16.5,43,0,0,0,0,0,0,11.0,3697.6545532751866
8165,L55344,L,299.6,310.9,1472,40.9,137,0,0,0,0,0,0,11.299999999999955,6304.631913028092
8393,M23252,M,298.5,309.6,1502,39.4,84,0,0,0,0,0,0,11.100000000000023,6197.189444275321
6327,L53506,L,300.6,310.0,1455,40.4,172,0,0,0,0,0,0,9.399999999999977,6155.63664544384
8218,L55397,L,299.1,310.6,1577,37.1,44,0,0,0,0,0,0,11.5,6126.807296859399
4412,L51591,L,302.5,310.3,1688,31.6,66,0,0,0,0,0,0,7.800000000000011,5585.835513886748
1431,L48610,L,298.9,310.0,1378,49.3,18,0,0,0,0,0,0,11.100000000000023,7114.178451956133
9852,M24711,M,298.5,309.3,1761,27.2,49,0,0,0,0,0,0,10.800000000000011,5015.992494427607
8579,L55758,L,297.5,308.2,1489,40.7,141,0,0,0,0,0,0,10.699999999999989,6346.258015688157
688,M15547,M,297.7,309.0,1531,42.4,38,0,0,0,0,0,0,11.300000000000011,6797.820071739642
8602,H38015,H,297.4,308.2,1359,46.9,199,0,0,0,0,0,0,10.800000000000011,6674.5335040372665
6615,L53794,L,301.7,310.6,1660,28.7,66,0,0,0,0,0,0,8.900000000000034,4989.05857341083
8019,L55198,L,301.0,311.9,1889,23.5,198,0,0,0,0,0,0,10.899999999999977,4648.667009394377
4401,L51580,L,302.3,310.1,1353,50.9,36,1,0,1,0,0,0,7.800000000000011,7211.808679654193
9255,L56434,L,298.3,309.1,1616,31.1,195,0,0,0,0,0,0,10.800000000000011,5262.963564901813
2507,M17366,M,299.2,309.1,1503,34.7,6,0,0,0,0,0,0,9.900000000000034,5461.564580486248
9391,M24250,M,297.5,308.0,1560,39.0,141,0,0,0,0,0,0,10.5,6371.1499014801
2164,L49343,L,299.6,309.2,1422,39.8,219,0,0,0,0,0,0,9.599999999999966,5926.677372850216
7613,M22472,M,300.5,311.4,1743,27.6,46,0,0,0,0,0,0,10.899999999999977,5037.732315590449
8994,M23853,M,297.2,307.9,1632,37.5,156,0,0,0,0,0,0,10.699999999999989,6408.849013323178
3080,L50259,L,300.1,309.3,1340,56.0,130,0,0,0,0,0,0,9.199999999999989,7858.170424179269
9363,M24222,M,298.0,308.5,1682,33.0,58,0,0,0,0,0,0,10.5,5812.574727671836
585,H29998,H,297.6,309.6,1419,48.2,215,0,0,0,0,0,0,12.0,7162.391427213226
5952,L53131,L,300.7,310.9,1650,29.4,102,0,0,0,0,0,0,10.199999999999989,5079.955320854696
8041,L55220,L,300.8,311.9,1498,39.3,23,0,0,0,0,0,0,11.099999999999966,6164.998591551538
